id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
152,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0,ORANG,2016
153,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,0,ORANG,2016
154,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,0,ORANG,2016
155,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,84,ORANG,2016
156,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,220,ORANG,2016
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,0,ORANG,2016
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,267062,ORANG,2016
159,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0,ORANG,2016
160,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,23765,ORANG,2016
161,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,0,ORANG,2017
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,0,ORANG,2017
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,2849,ORANG,2017
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,111947,ORANG,2017
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,1800,ORANG,2017
166,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,100,ORANG,2017
167,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,0,ORANG,2017
168,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,0,ORANG,2017
169,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,0,ORANG,2017
170,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,43000,ORANG,2017
171,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,0,ORANG,2017
172,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,227925,ORANG,2017
173,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0,ORANG,2017
174,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,67,ORANG,2017
175,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,0,ORANG,2017
176,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,0,ORANG,2017
177,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2017
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,0,ORANG,2017
179,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,2,ORANG,2017
180,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,120266,ORANG,2017
181,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,0,ORANG,2017
182,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,0,ORANG,2017
183,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0,ORANG,2017
184,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,0,ORANG,2017
185,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,21,ORANG,2017
186,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,1455789,ORANG,2017
187,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,100,ORANG,2017
188,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,43700,ORANG,2017
189,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,120,ORANG,2017
190,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,534100,ORANG,2017
191,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2017
192,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,0,ORANG,2017
193,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,1,ORANG,2017
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,28231,ORANG,2017
195,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,0,ORANG,2017
196,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,0,ORANG,2017
197,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,1690,ORANG,2017
198,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,43067,ORANG,2017
199,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,0,ORANG,2017
200,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,0,ORANG,2017
201,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,0,ORANG,2017
202,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,0,ORANG,2017
203,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,0,ORANG,2017
204,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,0,ORANG,2017
205,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0,ORANG,2017
206,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0,ORANG,2017
207,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,0,ORANG,2017
208,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,0,ORANG,2017
209,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,351,ORANG,2017
210,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,1372,ORANG,2017
211,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,0,ORANG,2017
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,267062,ORANG,2017
213,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0,ORANG,2017
214,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,3449,ORANG,2017
215,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,34,ORANG,2018
216,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4421329,ORANG,2018
217,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,30,ORANG,2018
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,3666911,ORANG,2018
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,131413,ORANG,2018
220,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,9461107,ORANG,2018
221,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,11,ORANG,2018
222,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,2061000,ORANG,2018
223,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,685,ORANG,2018
224,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,2787071,ORANG,2018
225,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,3049,ORANG,2018
226,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,1454379,ORANG,2018
227,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,4,ORANG,2018
228,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,1458892,ORANG,2018
229,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,455,ORANG,2018
230,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,2313329,ORANG,2018
231,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,63414,ORANG,2018
232,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,1374355,ORANG,2018
233,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,12,ORANG,2018
234,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,253851,ORANG,2018
235,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,17,ORANG,2018
236,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,550619,ORANG,2018
237,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,19,ORANG,2018
238,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,821374,ORANG,2018
