id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,sektor_wisata,jumlah_pendapatan,satuan,tahun
138,32,JAWA BARAT,3209,KABUPATEN CIREBON,RESTORAN/RUMAH MAKAN,497740000,RUPIAH,2015
139,32,JAWA BARAT,3209,KABUPATEN CIREBON,HIBURAN,410000000,RUPIAH,2015
140,32,JAWA BARAT,3209,KABUPATEN CIREBON,RETRIBUSI,108054600,RUPIAH,2015
141,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HOTEL,98393900,RUPIAH,2015
142,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RESTORAN/RUMAH MAKAN,1493965369,RUPIAH,2015
143,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HIBURAN,74616250,RUPIAH,2015
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RETRIBUSI,117000000,RUPIAH,2015
145,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HOTEL,600417602,RUPIAH,2015
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RESTORAN/RUMAH MAKAN,2035742445,RUPIAH,2015
147,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIBURAN,392621025,RUPIAH,2015
148,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RETRIBUSI,77915000,RUPIAH,2015
149,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HOTEL,146587500,RUPIAH,2015
150,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RESTORAN/RUMAH MAKAN,779958600,RUPIAH,2015
151,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HIBURAN,70555000,RUPIAH,2015
152,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RETRIBUSI,116384150,RUPIAH,2015
153,32,JAWA BARAT,3213,KABUPATEN SUBANG,HOTEL,2007490863,RUPIAH,2015
154,32,JAWA BARAT,3213,KABUPATEN SUBANG,RESTORAN/RUMAH MAKAN,2238945089,RUPIAH,2015
155,32,JAWA BARAT,3213,KABUPATEN SUBANG,HIBURAN,5223862322,RUPIAH,2015
156,32,JAWA BARAT,3213,KABUPATEN SUBANG,RETRIBUSI,1610721739,RUPIAH,2015
157,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HOTEL,1696998259,RUPIAH,2015
158,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RESTORAN/RUMAH MAKAN,2594692337,RUPIAH,2015
159,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HIBURAN,268128183,RUPIAH,2015
160,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RETRIBUSI,2984700,RUPIAH,2015
161,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HOTEL,0,RUPIAH,2015
162,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RESTORAN/RUMAH MAKAN,0,RUPIAH,2015
163,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HIBURAN,0,RUPIAH,2015
164,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RETRIBUSI,0,RUPIAH,2015
165,32,JAWA BARAT,3216,KABUPATEN BEKASI,HOTEL,732564174,RUPIAH,2015
166,32,JAWA BARAT,3216,KABUPATEN BEKASI,RESTORAN/RUMAH MAKAN,343945054,RUPIAH,2015
167,32,JAWA BARAT,3216,KABUPATEN BEKASI,HIBURAN,0,RUPIAH,2015
168,32,JAWA BARAT,3216,KABUPATEN BEKASI,RETRIBUSI,0,RUPIAH,2015
169,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HOTEL,12172543668,RUPIAH,2015
170,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RESTORAN/RUMAH MAKAN,9686084099,RUPIAH,2015
171,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HIBURAN,1329365744,RUPIAH,2015
172,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RETRIBUSI,93146000,RUPIAH,2015
173,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HOTEL,0,RUPIAH,2015
174,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RESTORAN/RUMAH MAKAN,0,RUPIAH,2015
175,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HIBURAN,0,RUPIAH,2015
176,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RETRIBUSI,0,RUPIAH,2015
177,32,JAWA BARAT,3271,KOTA BOGOR,HOTEL,27528683203,RUPIAH,2015
178,32,JAWA BARAT,3271,KOTA BOGOR,RESTORAN/RUMAH MAKAN,39510789644,RUPIAH,2015
179,32,JAWA BARAT,3271,KOTA BOGOR,HIBURAN,13707405648,RUPIAH,2015
180,32,JAWA BARAT,3271,KOTA BOGOR,RETRIBUSI,0,RUPIAH,2015
181,32,JAWA BARAT,3272,KOTA SUKABUMI,HOTEL,550179000,RUPIAH,2015
182,32,JAWA BARAT,3272,KOTA SUKABUMI,RESTORAN/RUMAH MAKAN,2771548000,RUPIAH,2015
183,32,JAWA BARAT,3272,KOTA SUKABUMI,HIBURAN,510334000,RUPIAH,2015
184,32,JAWA BARAT,3272,KOTA SUKABUMI,RETRIBUSI,77470000,RUPIAH,2015
185,32,JAWA BARAT,3273,KOTA BANDUNG,HOTEL,72300805686,RUPIAH,2015
186,32,JAWA BARAT,3273,KOTA BANDUNG,RESTORAN/RUMAH MAKAN,66601904599,RUPIAH,2015
187,32,JAWA BARAT,3273,KOTA BANDUNG,HIBURAN,22540126656,RUPIAH,2015
188,32,JAWA BARAT,3273,KOTA BANDUNG,RETRIBUSI,1400000000,RUPIAH,2015
189,32,JAWA BARAT,3274,KOTA CIREBON,HOTEL,2136290890,RUPIAH,2015
190,32,JAWA BARAT,3274,KOTA CIREBON,RESTORAN/RUMAH MAKAN,2948706101,RUPIAH,2015
191,32,JAWA BARAT,3274,KOTA CIREBON,HIBURAN,1031185094,RUPIAH,2015
192,32,JAWA BARAT,3274,KOTA CIREBON,RETRIBUSI,22500000,RUPIAH,2015
193,32,JAWA BARAT,3275,KOTA BEKASI,HOTEL,2964590904,RUPIAH,2015
194,32,JAWA BARAT,3275,KOTA BEKASI,RESTORAN/RUMAH MAKAN,10267419208,RUPIAH,2015
195,32,JAWA BARAT,3275,KOTA BEKASI,HIBURAN,3402206244,RUPIAH,2015
196,32,JAWA BARAT,3275,KOTA BEKASI,RETRIBUSI,55250000,RUPIAH,2015
197,32,JAWA BARAT,3276,KOTA DEPOK,HOTEL,1658480431,RUPIAH,2015
198,32,JAWA BARAT,3276,KOTA DEPOK,RESTORAN/RUMAH MAKAN,17746763032,RUPIAH,2015
