id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
106,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,4364,ORANG,2015
107,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,228913,ORANG,2016
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4955079,ORANG,2016
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,49985,ORANG,2016
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,2031979,ORANG,2016
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,12100,ORANG,2016
112,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,212095,ORANG,2016
113,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,867000,ORANG,2016
114,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,5583468,ORANG,2016
115,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,4983,ORANG,2016
116,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,671858,ORANG,2016
117,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,1362,ORANG,2016
118,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,505570,ORANG,2016
119,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0,ORANG,2016
120,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,126022,ORANG,2016
121,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,116,ORANG,2016
122,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,1189102,ORANG,2016
123,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2016
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,644224,ORANG,2016
125,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,1500,ORANG,2016
126,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,443001,ORANG,2016
127,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,18637,ORANG,2016
128,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,992315,ORANG,2016
